Season,Type,Week,Timeframe,DayString,TimeString,DayOfWeek,DateTimeString,LastUpdated,Status,AwayTeam,AwayScore,AwayTeamHasWon,HomeTeam,HomeScore,HomeTeamHasWon,AwayTeamLogo,HomeTeamLogo,QuarterNames,HomeTeamQuarters,AwayTeamQuarters,Scope,OpenerHomeMoneyLine,OpenerAwayMoneyLine,OpenerHomePointSpread,OpenerAwayPointSpread,OpenerHomePointSpreadPayout,OpenerAwayPointSpreadPayout,OpenerOverUnder,OpenerOverPayout,OpenerUnderPayout,OpenerHomeTeamTotal,OpenerAwayTeamTotal,OpenerHomeTeamTotalPayout,OpenerAwayTeamTotalPayout,ConsensusHomeMoneyLine,ConsensusAwayMoneyLine,ConsensusHomePointSpread,ConsensusAwayPointSpread,ConsensusHomePointSpreadPayout,ConsensusAwayPointSpreadPayout,ConsensusOverUnder,ConsensusOverPayout,ConsensusUnderPayout,ConsensusHomeTeamTotal,ConsensusAwayTeamTotal,ConsensusHomeTeamTotalPayout,ConsensusAwayTeamTotalPayout,DraftKingsHomeMoneyLine,DraftKingsAwayMoneyLine,DraftKingsHomePointSpread,DraftKingsAwayPointSpread,DraftKingsHomePointSpreadPayout,DraftKingsAwayPointSpreadPayout,DraftKingsOverUnder,DraftKingsOverPayout,DraftKingsUnderPayout,DraftKingsHomeTeamTotal,DraftKingsAwayTeamTotal,DraftKingsHomeTeamTotalPayout,DraftKingsAwayTeamTotalPayout,FanDuelHomeMoneyLine,FanDuelAwayMoneyLine,FanDuelHomePointSpread,FanDuelAwayPointSpread,FanDuelHomePointSpreadPayout,FanDuelAwayPointSpreadPayout,FanDuelOverUnder,FanDuelOverPayout,FanDuelUnderPayout,FanDuelHomeTeamTotal,FanDuelAwayTeamTotal,FanDuelHomeTeamTotalPayout,FanDuelAwayTeamTotalPayout,SugarHousePAHomeMoneyLine,SugarHousePAAwayMoneyLine,SugarHousePAHomePointSpread,SugarHousePAAwayPointSpread,SugarHousePAHomePointSpreadPayout,SugarHousePAAwayPointSpreadPayout,SugarHousePAOverUnder,SugarHousePAOverPayout,SugarHousePAUnderPayout,SugarHousePAHomeTeamTotal,SugarHousePAAwayTeamTotal,SugarHousePAHomeTeamTotalPayout,SugarHousePAAwayTeamTotalPayout,ParxHomeMoneyLine,ParxAwayMoneyLine,ParxHomePointSpread,ParxAwayPointSpread,ParxHomePointSpreadPayout,ParxAwayPointSpreadPayout,ParxOverUnder,ParxOverPayout,ParxUnderPayout,ParxHomeTeamTotal,ParxAwayTeamTotal,ParxHomeTeamTotalPayout,ParxAwayTeamTotalPayout,_888SportNJHomeMoneyLine,_888SportNJAwayMoneyLine,_888SportNJHomePointSpread,_888SportNJAwayPointSpread,_888SportNJHomePointSpreadPayout,_888SportNJAwayPointSpreadPayout,_888SportNJOverUnder,_888SportNJOverPayout,_888SportNJUnderPayout,_888SportNJHomeTeamTotal,_888SportNJAwayTeamTotal,_888SportNJHomeTeamTotalPayout,_888SportNJAwayTeamTotalPayout,RiversCasinoPAHomeMoneyLine,RiversCasinoPAAwayMoneyLine,RiversCasinoPAHomePointSpread,RiversCasinoPAAwayPointSpread,RiversCasinoPAHomePointSpreadPayout,RiversCasinoPAAwayPointSpreadPayout,RiversCasinoPAOverUnder,RiversCasinoPAOverPayout,RiversCasinoPAUnderPayout,RiversCasinoPAHomeTeamTotal,RiversCasinoPAAwayTeamTotal,RiversCasinoPAHomeTeamTotalPayout,RiversCasinoPAAwayTeamTotalPayout,CaesarsHomeMoneyLine,CaesarsAwayMoneyLine,CaesarsHomePointSpread,CaesarsAwayPointSpread,CaesarsHomePointSpreadPayout,CaesarsAwayPointSpreadPayout,CaesarsOverUnder,CaesarsOverPayout,CaesarsUnderPayout,CaesarsHomeTeamTotal,CaesarsAwayTeamTotal,CaesarsHomeTeamTotalPayout,CaesarsAwayTeamTotalPayout,PointsBetHomeMoneyLine,PointsBetAwayMoneyLine,PointsBetHomePointSpread,PointsBetAwayPointSpread,PointsBetHomePointSpreadPayout,PointsBetAwayPointSpreadPayout,PointsBetOverUnder,PointsBetOverPayout,PointsBetUnderPayout,PointsBetHomeTeamTotal,PointsBetAwayTeamTotal,PointsBetHomeTeamTotalPayout,PointsBetAwayTeamTotalPayout,BetMGMHomeMoneyLine,BetMGMAwayMoneyLine,BetMGMHomePointSpread,BetMGMAwayPointSpread,BetMGMHomePointSpreadPayout,BetMGMAwayPointSpreadPayout,BetMGMOverUnder,BetMGMOverPayout,BetMGMUnderPayout,BetMGMHomeTeamTotal,BetMGMAwayTeamTotal,BetMGMHomeTeamTotalPayout,BetMGMAwayTeamTotalPayout,UnibetHomeMoneyLine,UnibetAwayMoneyLine,UnibetHomePointSpread,UnibetAwayPointSpread,UnibetHomePointSpreadPayout,UnibetAwayPointSpreadPayout,UnibetOverUnder,UnibetOverPayout,UnibetUnderPayout,UnibetHomeTeamTotal,UnibetAwayTeamTotal,UnibetHomeTeamTotalPayout,UnibetAwayTeamTotalPayout,BarstoolHomeMoneyLine,BarstoolAwayMoneyLine,BarstoolHomePointSpread,BarstoolAwayPointSpread,BarstoolHomePointSpreadPayout,BarstoolAwayPointSpreadPayout,BarstoolOverUnder,BarstoolOverPayout,BarstoolUnderPayout,BarstoolHomeTeamTotal,BarstoolAwayTeamTotal,BarstoolHomeTeamTotalPayout,BarstoolAwayTeamTotalPayout
2021,RegularSeason,18,Week 18,1/8/22,4:30 PM ET,Sat,1/8/22 @ 4:30 PM ET,6/2/2022 12:18:10 PM,Final,KC,28,True,DEN,24,False,/assets/images/nfl/logos/KC.png,/assets/images/nfl/logos/DEN.png,"Q1, Q2, Q3, Q4","7, 7, 7, 3","7, 3, 7, 11",1,135,-155,3,-3,-110,-110,43.5,-110,-110,,,,,454,-601,11.5,-11.5,-112,-110,44.5,-113,-108,,,,,425,-590,11.5,-11.5,-110,-110,44.5,-110,-110,,,,,480,-650,11.5,-11.5,-110,-110,45,-106,-114,,,,,475,-590,11.5,-11.5,-112,-109,44.5,-114,-107,,,,,430,-590,11.5,-11.5,-112,-109,44.5,-114,-107,,,,,,,,,,,,,,,,,,475,-590,11.5,-11.5,-112,-109,44.5,-114,-107,,,,,475,-700,11.5,-11.5,-110,-110,44.5,-110,-110,,,,,450,-625,11.5,-11.5,-110,-110,44.5,-115,-105,,,,,400,-556,11,-11,-110,-110,44.5,-110,-110,,,,,430,-590,11.5,-11.5,-112,-109,44.5,-114,-107,,,,,,,,,,,,,,,,,
2021,RegularSeason,18,Week 18,1/8/22,8:15 PM ET,Sat,1/8/22 @ 8:15 PM ET,6/2/2022 12:18:10 PM,Final,DAL,51,True,PHI,26,False,/assets/images/nfl/logos/DAL.png,/assets/images/nfl/logos/PHI.png,"Q1, Q2, Q3, Q4","7, 10, 3, 6","10, 20, 0, 21",1,155,-180,3.5,-3.5,-110,-110,,,,,,,,215,-257,6,-6,-107,-111,45.5,-112,-109,,,,,235,-300,6.5,-6.5,-110,-110,46,-110,-110,,,,,230,-280,6.5,-6.5,-110,-110,46,-110,-110,,,,,210,-245,6,-6,-104,-110,45.5,-112,-109,,,,,195,-245,6,-6,-107,-114,45.5,-112,-109,,,,,,,,,,,,,,,,,,210,-245,6,-6,-104,-110,45.5,-112,-109,,,,,220,-270,6,-6,-110,-110,46.5,-110,-110,,,,,220,-250,6,-6,-110,-110,45.5,-110,-110,,,,,225,-278,6.5,-6.5,-110,-110,46.5,-110,-110,,,,,195,-245,6,-6,-107,-114,45.5,-112,-109,,,,,,,,,,,,,,,,,
2021,RegularSeason,18,Week 18,1/9/22,1:00 PM ET,Sun,1/9/22 @ 1:00 PM ET,6/2/2022 12:18:10 PM,Final,CIN,16,False,CLE,21,True,/assets/images/nfl/logos/CIN.png,/assets/images/nfl/logos/CLE.png,"Q1, Q2, Q3, Q4","7, 7, 0, 7","0, 7, 3, 6",1,,,-1.5,1.5,-110,-110,,,,,,,,-266,217,-6.5,6.5,-112,-110,38,-110,-110,,,,,-265,215,-6.5,6.5,-110,-110,38,-110,-110,,,,,-270,220,-6.5,6.5,-114,-106,37.5,-110,-110,,,,,-265,220,-6.5,6.5,-112,-109,38,-110,-110,,,,,-265,205,-6.5,6.5,-112,-109,38,-110,-110,,,,,,,,,,,,,,,,,,-250,215,-6.5,6.5,-110,-110,38.5,-110,-110,,,,,-270,220,-6.5,6.5,-110,-110,38,-110,-110,,,,,-250,220,-6.5,6.5,-110,-110,38,-110,-110,,,,,-278,225,-6.5,6.5,-110,-110,37.5,-110,-110,,,,,-250,205,-6.5,6.5,-110,-110,38.5,-110,-110,,,,,,,,,,,,,,,,,
2021,RegularSeason,18,Week 18,1/9/22,1:00 PM ET,Sun,1/9/22 @ 1:00 PM ET,6/2/2022 12:18:10 PM,Final,GB,30,False,DET,37,True,/assets/images/nfl/logos/GB.png,/assets/images/nfl/logos/DET.png,"Q1, Q2, Q3, Q4","7, 10, 7, 13","7, 6, 3, 14",1,375,-510,11,-11,-110,-110,46.5,-110,-110,,,,,167,-200,4,-4,-110,-110,45,-111,-111,,,,,165,-195,4,-4,-110,-110,45,-105,-115,,,,,168,-200,4,-4,-110,-110,45,-110,-110,,,,,172,-200,4,-4,-110,-110,45,-112,-109,,,,,165,-205,4,-4,-110,-110,45,-112,-109,,,,,,,,,,,,,,,,,,172,-200,4,-4,-110,-110,45,-112,-109,,,,,170,-200,4,-4,-110,-110,45,-110,-110,,,,,165,-200,4,-4,-105,-115,45,-105,-115,,,,,160,-192,3.5,-3.5,-105,-115,44.5,-110,-110,,,,,165,-205,4,-4,-110,-110,45,-112,-109,,,,,,,,,,,,,,,,,
2021,RegularSeason,18,Week 18,1/9/22,1:00 PM ET,Sun,1/9/22 @ 1:00 PM ET,6/2/2022 12:18:10 PM,Final,CHI,17,False,MIN,31,True,/assets/images/nfl/logos/CHI.png,/assets/images/nfl/logos/MIN.png,"Q1, Q2, Q3, Q4","0, 3, 7, 21","3, 11, 3, 0",1,-240,195,-6,6,-110,-110,,,,,,,,-187,157,-3.5,3.5,-110,-109,45,-109,-113,,,,,-190,160,-3.5,3.5,-110,-110,45,-110,-110,,,,,-188,158,-3.5,3.5,-114,-106,44.5,-110,-110,,,,,-182,158,-3.5,3.5,-107,-106,45,-108,-113,,,,,-190,155,-3.5,3.5,-110,-110,45,-108,-113,,,,,,,,,,,,,,,,,,-182,158,-3.5,3.5,-107,-106,45,-108,-113,,,,,-180,155,-3.5,3.5,-110,-110,44.5,-110,-110,,,,,-190,160,-3.5,3.5,-110,-110,45,-115,-105,,,,,-185,150,-3.5,3.5,-110,-110,44.5,-110,-110,,,,,-190,155,-3.5,3.5,-110,-110,45,-108,-113,,,,,,,,,,,,,,,,,
2021,RegularSeason,18,Week 18,1/9/22,1:00 PM ET,Sun,1/9/22 @ 1:00 PM ET,6/2/2022 12:18:10 PM,Final,WAS,22,True,NYG,7,False,/assets/images/nfl/logos/WAS.png,/assets/images/nfl/logos/NYG.png,"Q1, Q2, Q3, Q4","0, 0, 0, 7","3, 3, 6, 10",1,,,-2,2,-110,-110,,,,,,,,205,-248,6,-6,-110,-112,36,-111,-111,,,,,200,-250,6,-6,-110,-110,36,-115,-105,,,,,210,-255,6,-6,-112,-108,36.5,-110,-110,,,,,210,-245,6,-6,-109,-112,36,-109,-112,,,,,205,-250,6,-6,-109,-112,36,-109,-112,,,,,,,,,,,,,,,,,,210,-245,6,-6,-109,-112,36,-109,-112,,,,,205,-250,6,-6,-110,-110,36,-115,-105,,,,,200,-250,6,-6,-110,-110,36.5,-110,-110,,,,,200,-244,5.5,-5.5,-110,-110,36.5,-110,-110,,,,,205,-250,6,-6,-109,-112,36,-109,-112,,,,,,,,,,,,,,,,,
2021,RegularSeason,18,Week 18,1/9/22,1:00 PM ET,Sun,1/9/22 @ 1:00 PM ET,6/2/2022 12:18:10 PM,Final,IND,11,False,JAX,26,True,/assets/images/nfl/logos/IND.png,/assets/images/nfl/logos/JAX.png,"Q1, Q2, Q3, Q4","7, 6, 10, 3","0, 3, 0, 8",1,330,-435,8.5,-8.5,-110,-110,44.5,-110,-110,,,,,641,-962,14,-14,-107,-111,43.5,-112,-110,,,,,650,-1000,14,-14,-110,-110,43,-110,-110,,,,,730,-1150,14,-14,-105,-115,43.5,-104,-118,,,,,650,-910,14,-14,-106,-107,43.5,-112,-110,,,,,550,-910,14,-14,-108,-112,43.5,-112,-110,,,,,,,,,,,,,,,,,,650,-910,14,-14,-106,-107,43.5,-112,-110,,,,,650,-1000,14,-14,-110,-110,43.5,-110,-110,,,,,600,-900,14,-14,-105,-115,43,-115,-105,,,,,750,-1250,14.5,-14.5,-110,-110,43.5,-110,-110,,,,,550,-910,14,-14,-108,-112,43.5,-112,-110,,,,,,,,,,,,,,,,,
2021,RegularSeason,18,Week 18,1/9/22,1:00 PM ET,Sun,1/9/22 @ 1:00 PM ET,6/2/2022 12:18:10 PM,F/OT,PIT,16,True,BAL,13,False,/assets/images/nfl/logos/PIT.png,/assets/images/nfl/logos/BAL.png,"Q1, Q2, Q3, Q4, OT","0, 3, 7, 3, 0","3, 0, 3, 7, 3",1,-320,250,-6.5,6.5,-110,-110,42,-110,-110,,,,,-158,134,-3,3,-109,-110,41,-109,-113,,,,,-155,135,-3,3,-110,-110,41,-105,-115,,,,,-156,132,-3,3,-110,-110,41,-105,-115,,,,,-155,135,-3,3,-106,-107,41,-109,-112,,,,,-159,130,-3,3,-109,-112,41,-109,-112,,,,,,,,,,,,,,,,,,-155,135,-3,3,-108,-105,40.5,-110,-110,,,,,-160,140,-3,3,-110,-110,41,-110,-110,,,,,-170,140,-3,3,-110,-110,40.5,-115,-105,,,,,-164,135,-3,3,100,-120,41,-110,-110,,,,,-159,130,-3,3,-112,-109,40.5,-110,-110,,,,,,,,,,,,,,,,,
2021,RegularSeason,18,Week 18,1/9/22,1:00 PM ET,Sun,1/9/22 @ 1:00 PM ET,6/2/2022 12:18:10 PM,Final,TEN,28,True,HOU,25,False,/assets/images/nfl/logos/TEN.png,/assets/images/nfl/logos/HOU.png,"Q1, Q2, Q3, Q4","0, 0, 10, 15","0, 21, 0, 7",1,290,-380,10,-10,-110,-110,,,,,,,,425,-576,11,-11,-111,-109,43,-109,-113,,,,,410,-575,10.5,-10.5,-115,-105,43,-110,-110,,,,,440,-590,10.5,-10.5,-105,-115,42.5,-115,-105,,,,,435,-560,11,-11,-110,-110,43,-108,-113,,,,,420,-590,11,-11,-110,-110,43,-108,-113,,,,,,,,,,,,,,,,,,435,-560,11,-11,-110,-110,43,-108,-113,,,,,425,-600,11,-11,-115,-105,43,-110,-110,,,,,400,-550,11,-11,-115,-105,43,-105,-115,,,,,425,-588,10.5,-10.5,-110,-110,42.5,-110,-110,,,,,420,-590,11,-11,-110,-110,43,-108,-113,,,,,,,,,,,,,,,,,
2021,RegularSeason,18,Week 18,1/9/22,4:25 PM ET,Sun,1/9/22 @ 4:25 PM ET,6/2/2022 12:18:10 PM,Final,NO,30,True,ATL,20,False,/assets/images/nfl/logos/NO.png,/assets/images/nfl/logos/ATL.png,"Q1, Q2, Q3, Q4","3, 3, 7, 7","7, 17, 0, 6",1,,,-1.5,1.5,-110,-110,48,-110,-110,,,,,177,-212,4.5,-4.5,-112,-110,40,-109,-112,,,,,185,-225,5,-5,-110,-110,40.5,-110,-110,,,,,176,-210,4.5,-4.5,-115,-105,40.5,-110,-110,,,,,180,-210,4.5,-4.5,-112,-109,40,-108,-113,,,,,175,-220,4.5,-4.5,-112,-109,40,-108,-113,,,,,,,,,,,,,,,,,,180,-210,4.5,-4.5,-112,-109,40,-108,-113,,,,,175,-210,4.5,-4.5,-110,-110,40,-110,-110,,,,,160,-190,4,-4,-110,-110,40,-110,-110,,,,,175,-213,4.5,-4.5,-110,-110,40,-110,-110,,,,,175,-220,4.5,-4.5,-112,-109,40,-108,-113,,,,,,,,,,,,,,,,,
2021,RegularSeason,18,Week 18,1/9/22,4:25 PM ET,Sun,1/9/22 @ 4:25 PM ET,6/2/2022 12:18:10 PM,Final,NYJ,10,False,BUF,27,True,/assets/images/nfl/logos/NYJ.png,/assets/images/nfl/logos/BUF.png,"Q1, Q2, Q3, Q4","10, 3, 0, 14","0, 7, 3, 0",1,,,-17,17,-110,-110,45,-110,-110,,,,,-1153,710,-16,16,-110,-109,42,-112,-109,,,,,-1250,750,-16,16,-110,-110,43,-110,-110,,,,,-1150,730,-16,16,-110,-110,41.5,-114,-106,,,,,-1115,700,-16,16,-108,-106,42,-112,-109,,,,,-1115,650,-16,16,-110,-109,42,-112,-109,,,,,,,,,,,,,,,,,,-1115,700,-16,16,-108,-106,42,-112,-109,,,,,-1400,800,-16,16,-110,-110,42,-110,-110,,,,,-1100,700,-15.5,15.5,-110,-110,43,-110,-110,,,,,-1250,750,-15.5,15.5,-110,-110,42.5,-110,-110,,,,,-1115,650,-16,16,-110,-109,42,-112,-109,,,,,,,,,,,,,,,,,
