Rank,Name,Team,Position,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Week18,SnapsPlayed,SnapsPlayedPercentage,FantasyPointSnapPercentage,FantasyPoints
494,Deatrich Wise Jr.,NE,DL,25,42,42,54,40,57,23,23,27,36,31,27,25,null,4,null,20,45,521,52.9,12,62.75
495,Danielle Hunter,MIN,OLB,60,53,51,65,61,67,null,27,null,null,null,null,null,null,null,null,null,null,384,80.7,16.3,62.5
495,Cameron Dantzler Sr.,MIN,CB,null,16,0,72,null,25,null,73,96,57,15,25,72,11,73,70,null,81,686,68.9,9.1,62.5
497,Lawrence Guy Sr.,NE,DL,29,28,36,31,29,43,28,24,27,23,24,41,33,null,33,39,17,45,530,49.8,11.8,62.4
498,Dont'a Hightower,NE,LB,42,60,42,54,38,63,null,32,37,37,42,40,44,null,48,41,14,null,634,67.9,9.8,62.35
499,Samson Ebukam,SF,DL,44,16,19,21,22,null,15,41,51,27,27,40,43,38,33,40,40,38,555,51.2,11.2,62.15
500,Ugo Amadi,SEA,DB,34,22,35,28,27,25,25,65,null,46,50,41,26,51,49,49,42,76,691,54.6,9,62
500,George Odum,IND,S,0,0,2,0,10,2,12,57,77,42,51,63,7,null,3,65,62,18,471,43.7,13.2,62
502,Mario Addison,BUF,DE,26,35,26,14,28,28,null,40,29,30,18,22,18,48,41,32,28,19,482,45.5,12.8,61.9
503,Vita Vea,TB,DL,54,42,33,41,30,27,32,61,null,39,null,30,34,38,40,37,39,30,607,56.7,10.2,61.7
504,Freddie Swain,SEA,WR,23,41,45,25,40,51,43,37,null,41,20,31,32,27,52,29,36,19,592,59.7,10.4,61.5
504,Lonnie Johnson Jr.,HOU,CB,null,26,73,60,55,37,64,63,9,null,8,11,10,37,61,null,null,44,558,59.5,11,61.5
504,Eli Apple,CIN,CB,82,65,83,51,28,63,63,84,46,null,47,39,63,70,75,59,61,null,979,95.4,6.3,61.5
507,Julian Okwara,DET,LB,null,4,10,12,20,33,35,36,null,37,37,38,28,null,null,null,30,42,362,40.4,16.9,61.3
508,Davon Godchaux,NE,DT,36,28,37,43,30,56,26,35,35,33,31,49,45,null,44,52,16,43,639,60.1,9.6,61.2
508,Cole Kmet,CHI,TE,51,47,43,57,51,48,59,63,48,null,53,60,55,46,69,71,53,61,935,83.3,6.5,61.2
510,Amani Hooker,TEN,DB,36,null,null,null,null,66,null,67,78,63,64,59,null,53,46,58,62,52,704,90.6,8.7,61.1
511,Marquez Valdes-Scantling,GB,WR,36,43,40,null,null,null,null,null,34,49,48,57,null,43,41,null,49,15,455,62.1,13.4,61
511,DeAndre Houston-Carson,CHI,DB,1,16,15,13,17,34,73,54,72,null,81,6,11,26,null,null,null,null,419,50.2,14.6,61
511,Jaquiski Tartt,SF,S,72,58,63,56,61,null,40,null,null,null,40,34,35,46,54,62,67,39,727,81.9,8.4,61
511,Isaiah Rodgers Sr.,IND,CB,6,18,15,44,60,22,31,2,41,21,29,32,20,null,31,55,32,66,525,48.7,11.6,61
515,Jordan Howard,PHI,RB,null,null,null,null,null,null,null,16,23,24,13,null,null,null,34,22,21,null,153,33.3,39.5,60.5
515,Henry Ruggs III,LV,WR,56,44,48,46,56,37,47,null,null,null,null,null,null,null,null,null,null,null,334,69.4,18.1,60.5
515,Reggie Ragland,NYG,LB,25,12,40,53,60,47,27,30,32,null,40,34,34,26,10,0,3,0,473,40.5,12.8,60.5
518,Joshua Palmer,LAC,WR,14,18,10,7,16,29,null,8,21,18,23,30,22,62,33,60,31,56,458,38.3,13.1,59.9
518,Ben Niemann,KC,ILB,40,53,37,43,15,43,50,44,25,25,28,null,29,17,34,43,17,14,557,50,10.8,59.9
520,Alex Collins,SEA,RB,null,6,14,22,46,39,22,27,null,30,18,19,null,14,null,null,null,null,257,41.2,23.3,59.8
520,Ndamukong Suh,TB,NT,53,41,34,43,34,34,33,59,null,57,30,43,46,52,43,42,42,31,717,63.6,8.3,59.8
522,Casey Hayward,LV,CB,67,52,73,54,64,78,48,null,56,72,74,74,67,64,56,41,59,93,1092,94.2,5.4,59.5
522,Damontae Kazee,DAL,S,52,67,52,68,63,47,null,44,43,26,34,87,69,68,55,50,30,47,902,79,6.6,59.5
524,Angelo Blackson,CHI,DL,22,29,39,48,42,29,36,13,29,null,71,34,38,35,34,33,24,27,583,55.1,10.2,59.45
525,New York Jets,NYJ,DST,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
525,Dean Marlowe,DET,S,1,8,44,19,23,33,null,39,null,50,27,70,71,68,75,46,70,64,708,65.8,8.3,59
527,Zay Jones,LV,WR,20,11,22,8,12,15,12,null,66,46,34,60,51,53,59,52,48,71,640,56.1,9.2,58.9
528,William Gholston,TB,DL,32,36,24,28,20,17,34,42,null,30,21,33,33,18,40,34,26,39,507,44.9,11.6,58.85
529,Olamide Zaccheaus,ATL,WR,19,42,43,61,66,null,12,21,29,23,25,30,43,29,37,40,51,39,610,58,9.6,58.8
530,Jamison Crowder,NYJ,WR,null,null,null,38,34,null,52,51,61,64,41,33,46,60,51,null,null,7,538,67.2,10.9,58.7
531,AJ Parker,DET,CB,21,40,30,38,36,49,48,null,null,69,35,null,null,null,68,24,50,49,557,64.6,10.5,58.5
532,Jauan Jennings,SF,WR,6,6,3,8,null,null,9,7,5,32,33,26,29,47,25,27,30,44,337,32.8,17.3,58.2
533,James Pierre,PIT,CB,31,66,24,18,59,14,null,7,10,53,74,58,0,0,0,0,0,0,414,35.5,14,58
533,Detroit Lions,DET,DST,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0,0,0,58
533,Tarell Basham,DAL,DE,24,45,22,43,56,35,null,43,49,40,34,41,36,27,26,28,30,46,625,54.7,9.3,58
533,Jackrabbit Jenkins,TEN,CB,61,54,61,60,70,76,54,80,78,67,null,54,null,null,null,37,54,55,861,92.8,6.7,58
537,Troy Hill,CLE,CB,43,37,38,42,55,69,33,44,62,33,null,14,null,63,null,null,null,null,533,66,10.8,57.8
538,Rashod Bateman,BAL,WR,null,null,null,null,null,45,46,null,65,40,57,36,33,48,65,48,59,62,604,67.6,9.5,57.5
538,Jaylon Johnson,CHI,DB,52,55,81,71,66,59,73,56,72,null,81,49,49,65,null,null,56,48,933,99.5,6.2,57.5
540,Solomon Thomas,LV,DL,15,25,37,37,20,46,37,null,20,39,40,42,33,29,25,20,31,58,554,47.8,10.4,57.45
541,Kwity Paye,IND,DE,41,41,7,null,null,44,41,58,54,48,38,50,31,null,46,43,46,51,639,67,9,57.3
542,Greedy Williams,CLE,CB,8,0,8,67,62,54,11,73,5,null,20,14,null,74,69,59,25,41,590,56.2,9.7,57
542,Asante Samuel Jr.,LAC,CB,47,60,79,57,29,65,null,40,null,75,41,null,null,null,null,68,58,74,693,84.6,8.2,57
542,Marcus Epps,PHI,S,8,32,67,19,20,32,66,62,26,20,25,14,34,null,17,47,17,null,506,47.8,11.3,57
545,DeMarcus Lawrence,DAL,DE,43,null,null,null,null,null,null,null,null,null,null,null,37,47,40,25,50,29,271,57.3,21,56.9
546,Frank Clark,KC,DE,null,53,null,null,47,48,50,53,55,36,57,null,48,36,58,29,50,39,659,72,8.6,56.85
547,Montez Sweat,WAS,DE,53,61,55,60,38,58,38,31,null,null,null,null,null,null,51,38,null,null,483,69.4,11.7,56.7
548,Poona Ford,SEA,DT,52,63,53,46,45,42,51,40,null,49,56,54,36,41,37,49,36,52,802,63.3,7.1,56.65
548,Arden Key,SF,OLB,38,19,11,18,19,null,18,33,25,24,14,23,20,25,25,18,25,19,374,34.5,15.1,56.65
550,Zach Pascal,IND,WR,69,61,54,58,59,41,57,75,52,57,54,64,54,null,34,null,34,49,872,83.5,6.5,56.5
550,DeAndre Carter,WAS,WR,2,6,5,11,58,12,39,49,null,49,50,61,49,40,27,13,22,12,505,44.8,11.2,56.5
550,Michael Gallup,DAL,WR,50,null,null,null,null,null,null,null,null,41,63,71,64,70,65,48,26,null,498,75,11.3,56.5
550,Evan Engram,NYG,TE,null,null,39,43,50,55,44,47,46,null,52,54,53,51,55,59,36,38,722,74.4,7.8,56.5
550,Emmanuel Moseley,SF,CB,null,null,63,56,61,null,64,70,70,55,34,55,9,null,null,null,null,65,602,88.7,9.4,56.5
555,Rudy Ford,JAX,S,12,15,15,7,6,25,null,36,66,49,30,23,47,30,39,23,null,null,423,43.2,13.3,56.25
556,Samaje Perine,CIN,RB,15,3,10,16,41,null,30,14,25,null,11,10,26,28,16,11,20,0,276,26.8,20.4,56.2
556,Tashaun Gipson Sr.,CHI,S,52,55,null,null,58,40,null,51,72,null,81,49,53,65,null,null,43,41,660,92.6,8.5,56.2
556,Derek Barnett,PHI,DE,33,45,55,38,50,65,56,33,55,48,45,38,40,null,38,39,42,null,720,68.1,7.8,56.2
559,Malcom Brown,JAX,DT,51,41,44,43,43,40,null,36,28,41,42,39,39,43,35,40,43,29,677,61.1,8.3,56.1
560,DeSean Jackson,LAR,WR,14,3,21,22,20,16,4,null,null,9,16,42,24,32,20,36,16,8,303,29.4,18.4,55.8
561,Tre'Quan Smith,NO,WR,null,null,null,null,null,null,41,48,61,61,62,45,47,49,40,14,null,52,520,70.3,10.7,55.7
562,Mo Alie-Cox,IND,TE,39,27,28,49,31,24,43,39,38,35,28,39,31,null,40,63,34,22,610,54.8,9.1,55.6
563,Patrick Peterson,MIN,CB,69,61,53,78,68,62,null,null,null,null,51,70,null,74,73,69,75,82,885,97.7,6.3,55.5
563,Malcolm Smith,CLE,OLB,17,58,30,51,3,null,25,40,41,16,18,9,null,38,34,15,29,null,424,42.9,13.1,55.5
565,Foster Moreau,LV,TE,46,38,47,17,15,25,66,null,22,21,17,77,50,62,69,65,62,49,748,65.6,7.4,55.3
566,Duke Johnson,MIA,RB,null,null,null,null,null,null,null,null,null,null,6,null,null,null,41,23,36,43,149,44.1,37,55.1
566,Rondale Moore,ARI,WR,20,28,23,33,29,42,37,36,57,18,32,null,23,34,20,null,null,null,432,45.2,12.8,55.1
568,Marco Wilson,ARI,CB,58,15,68,64,null,56,55,70,59,65,47,null,68,53,43,27,null,null,748,83.5,7.4,55
568,Carlton Davis III,TB,CB,84,70,65,32,null,null,null,null,null,null,null,null,70,73,61,0,59,67,581,84.4,9.5,55
568,Kristian Fulton,TEN,CB,69,54,57,56,46,null,null,null,null,62,64,60,null,47,49,59,60,54,737,93.4,7.5,55
568,Rodney McLeod Jr.,PHI,S,null,null,null,48,51,54,66,46,68,52,61,53,38,null,52,38,57,null,684,81.5,8,55
572,Tevaughn Campbell,LAC,CB,1,2,73,38,42,35,null,56,57,75,27,61,73,69,64,null,1,5,679,62.5,8,54.5
572,Austin Hooper,CLE,TE,38,42,49,56,52,44,46,38,35,37,48,54,null,65,null,37,35,41,717,68.2,7.6,54.5
572,Ronald Darby,DEN,CB,61,null,null,null,null,56,70,70,58,64,null,71,57,55,48,66,null,null,676,97,8.1,54.5
572,Tre'Von Moehrig,LV,S,68,56,77,75,64,81,69,null,56,76,74,74,67,66,56,42,59,93,1153,99.5,4.7,54.5
572,Shaquill Griffin,JAX,CB,78,68,67,58,64,70,null,57,67,64,36,null,null,71,59,58,null,57,874,96.3,6.2,54.5
577,Geno Smith,SEA,QB,null,null,null,null,25,65,56,57,null,null,null,null,null,null,null,null,null,null,203,83.5,26.7,54.28
578,Al Woods,SEA,DT,27,60,32,35,43,48,43,27,null,46,42,45,35,30,40,38,28,null,619,52,8.8,54.25
579,Pete Werner,NO,LB,6,null,35,40,82,null,40,33,12,25,11,16,13,null,3,65,12,7,400,41,13.5,54
579,Rashad Fenton,KC,CB,5,14,26,null,55,59,45,38,44,43,51,null,null,35,48,null,53,22,538,60.2,10,54
581,Dontrell Hilliard,TEN,RB,null,null,null,null,null,null,null,0,null,null,51,32,null,24,29,13,15,34,198,35.3,27.1,53.7
582,Arthur Maulet,PIT,CB,13,0,12,29,45,28,null,23,23,2,29,49,26,15,44,23,null,18,379,34.6,14.1,53.5
583,Anthony Nelson,TB,OLB,7,14,21,15,11,12,23,10,null,17,15,14,21,14,17,35,58,54,358,31.7,14.8,53
583,Christian Barmore,NE,DL,26,40,27,43,30,51,41,38,40,45,34,33,25,null,35,39,23,28,598,56.2,8.9,53
585,Joe Tryon-Shoyinka,TB,OLB,0,19,51,50,17,19,37,8,null,19,29,34,28,32,26,52,53,65,539,47.8,9.8,52.7
586,Kyle Fuller,DEN,CB,55,56,50,72,64,2,null,2,60,47,null,68,49,47,6,3,67,72,720,70.9,7.3,52.5
587,Roy Robertson-Harris,JAX,DL,45,34,null,null,null,38,null,30,39,39,38,37,38,50,37,40,45,37,547,59.5,9.6,52.3
587,Tre'Davious White,BUF,CB,58,67,54,34,86,53,null,69,60,66,61,21,null,null,null,null,null,null,629,91.2,8.3,52.3
589,Kenny Golladay,NYG,WR,52,58,48,58,24,null,null,null,31,null,44,46,38,61,57,61,45,43,666,74.5,7.8,52.1
590,Harrison Phillips,BUF,DL,21,null,null,20,null,23,null,24,25,46,54,35,33,49,44,35,36,29,474,55.6,11,52
590,Jalen Mills,NE,CB,41,56,59,78,null,84,56,52,51,40,42,53,56,null,52,79,47,67,913,90.8,5.7,52
592,Justin Jones,LAC,DL,16,null,null,null,null,null,null,49,43,55,56,52,24,39,55,null,40,58,487,64.8,10.7,51.9
593,Josh Reynolds,DET,WR,null,11,null,78,18,null,30,5,null,null,43,43,60,44,41,53,null,49,475,58.2,10.9,51.6
593,Ryan Neal,SEA,SS,0,0,0,26,6,14,16,21,null,11,11,11,33,81,66,74,63,null,433,36.4,11.9,51.6
595,Tavon Young,BAL,DB,24,40,35,29,44,35,35,null,25,31,35,22,8,20,20,58,58,31,550,50.6,9.4,51.5
595,Ameer Abdullah,CAR,RB,9,1,22,5,12,0,0,22,22,16,8,27,null,38,40,23,29,40,314,27,16.4,51.5
595,William Jackson III,WAS,CB,69,69,79,74,56,82,null,null,null,48,51,47,58,84,31,null,null,null,748,93,6.9,51.5
595,Linval Joseph,LAC,DT,33,47,39,34,50,46,null,58,45,50,null,null,null,9,31,47,30,32,551,58.1,9.3,51.5
595,Steven Nelson,PHI,DB,72,68,76,67,71,75,66,46,68,57,65,59,26,null,55,49,63,null,983,92.9,5.2,51.5
600,Jonathon Cooper,DEN,OLB,17,13,18,14,7,11,40,53,56,46,null,40,16,41,39,24,null,22,457,44.8,11.2,51.2
601,T.Y. Hilton,IND,WR,null,null,null,null,null,24,null,35,null,39,28,42,32,null,14,47,37,40,338,52.8,15.1,51.1
602,Kerry Hyder Jr.,SEA,DL,41,51,13,51,39,26,33,29,null,15,58,53,20,28,null,null,27,22,506,44.9,10.1,50.95
603,Keelan Cole,NYJ,WR,null,16,27,36,31,null,26,55,38,32,13,64,null,55,43,43,50,28,557,56.4,9.1,50.9
604,Drew Lock,DEN,QB,null,null,null,30,null,null,null,null,null,null,null,19,null,null,32,42,57,54,234,66.1,21.7,50.88
605,Quincy Roche,NYG,OLB,null,null,3,2,11,null,23,50,50,null,50,31,31,29,36,32,33,20,401,41.5,12.6,50.7
606,Nico Collins,HOU,WR,43,2,null,null,null,43,35,39,48,null,38,37,32,57,36,45,40,41,536,59.2,9.4,50.6
607,Osa Odighizuwa,DAL,DT,36,43,33,41,41,39,null,49,49,31,37,35,39,30,null,29,41,42,615,57,8.2,50.5
608,Willie Gay,KC,LB,null,null,null,null,25,18,46,38,41,29,38,null,47,33,null,37,47,38,437,57.6,11.5,50.35
609,Myles Bryant,NE,DB,null,null,null,9,11,null,56,38,32,32,27,17,54,null,21,69,40,null,406,56.5,12.4,50.3
610,Jack Doyle,IND,TE,45,50,35,21,50,31,50,50,42,37,51,42,42,null,41,2,22,32,643,57.7,7.8,50.2
610,Grover Stewart,IND,DT,44,44,47,26,49,43,29,48,32,36,34,45,26,null,34,31,35,40,643,59.6,7.8,50.2
610,Malik McDowell,CLE,DT,45,37,30,44,50,46,32,58,42,45,38,54,null,38,null,null,48,39,646,65.3,7.8,50.2
610,Devin Duvernay,BAL,WR,39,37,33,33,64,34,36,null,41,44,44,35,44,49,22,null,30,18,603,51,8.3,50.2
614,Christian Covington,LAC,DL,29,43,45,35,51,44,null,39,16,24,null,24,41,29,17,45,19,23,524,48.3,9.6,50.1
615,Khalil Mack,CHI,OLB,44,43,41,34,53,48,52,null,null,null,null,null,null,null,null,null,null,null,315,68.8,15.9,50
615,Baron Browning,DEN,LB,4,10,4,null,17,5,null,68,62,16,null,71,57,54,53,69,null,74,564,64.5,8.9,50
617,M.J. Stewart,CLE,DB,60,0,0,24,7,null,null,null,null,0,0,0,null,14,69,57,80,16,327,38.8,15.1,49.5
617,Jayon Brown,TEN,LB,64,null,10,19,null,null,null,null,55,67,62,60,null,51,16,16,null,null,420,67.4,11.8,49.5
617,Neville Hewitt,HOU,LB,22,16,16,10,22,22,25,6,28,null,20,29,10,32,70,62,32,25,447,39.3,11.1,49.5
617,Xavier Rhodes,IND,CB,null,null,62,51,41,73,48,71,42,null,36,38,30,null,49,65,32,null,638,76.7,7.8,49.5
621,Julio Jones,TEN,WR,50,66,34,null,null,35,29,null,43,null,null,null,null,32,27,31,null,46,393,57.8,12.6,49.4
621,Laquon Treadwell,JAX,WR,null,9,null,null,null,7,null,null,19,23,33,63,55,44,68,64,38,62,485,65.5,10.2,49.4
623,David Johnson,HOU,RB,22,26,21,27,31,32,30,11,31,null,35,22,null,null,12,null,null,17,317,39.7,15.6,49.3
624,Austin Bryant,DET,DL,1,null,13,43,12,26,12,28,null,null,60,56,54,8,44,33,46,null,436,47.3,11.2,49.05
625,Sheldon Rankins,NYJ,DL,31,30,37,61,42,null,41,33,29,32,44,29,null,39,47,53,50,42,640,57.3,7.7,49
625,Justin Madubuike,BAL,DT,33,25,null,24,31,25,33,null,30,29,36,51,26,50,32,null,27,32,484,51,10.1,49
625,Allen Robinson II,CHI,WR,63,52,40,40,53,56,62,56,48,null,null,null,null,48,null,null,46,53,617,80.1,7.9,49
628,Maliek Collins,HOU,DL,47,38,44,38,37,32,35,41,46,null,55,42,41,41,45,null,null,47,629,62.2,7.7,48.7
629,Cameron Brate,TB,TE,18,21,33,50,28,44,40,37,null,30,35,17,13,21,20,31,21,10,469,39.6,10.3,48.5
630,Kindle Vildor,CHI,DB,52,55,81,71,66,59,73,56,72,null,77,8,14,12,64,38,22,9,829,78.4,5.8,48.2
630,DaVon Hamilton,JAX,DT,46,32,22,26,35,13,null,24,12,20,40,34,null,38,25,28,31,16,442,42.5,10.9,48.2
632,Derrick Gore,KC,RB,null,null,null,null,null,0,5,16,10,11,null,null,2,20,0,19,8,24,115,14.8,41.8,48.1
632,Dalvin Tomlinson,MIN,DL,47,38,25,50,34,42,null,43,59,30,30,null,35,38,33,42,48,47,641,56.3,7.5,48.1
634,Marcus Maye,NYJ,S,64,58,67,null,null,null,76,56,41,null,null,null,null,null,null,null,null,null,362,94.5,13.3,48
634,A.J. Klein,BUF,ILB,19,30,9,23,54,3,null,9,15,68,62,9,null,null,5,19,1,3,329,35.6,14.6,48
634,Jacob Martin,HOU,DL,33,25,42,43,34,27,36,41,45,null,65,47,56,42,44,26,40,52,698,61.4,6.9,48
634,Mackensie Alexander,MIN,CB,50,44,44,33,43,65,null,39,36,37,43,15,42,64,59,52,24,null,690,61.3,7,48
634,Ross Cockrell,TB,CB,46,27,57,35,46,51,52,40,null,9,3,4,19,66,0,13,1,5,474,42,10.1,48
639,Blake Lynch,MIN,LB,16,17,9,36,0,0,null,0,0,19,1,20,72,null,0,0,26,2,218,19.2,21.8,47.6
640,Nick Scott,LAR,DB,10,13,31,16,19,33,20,45,10,8,null,19,19,39,57,18,21,35,413,35.8,11.5,47.5
640,DJ Reader,CIN,DT,48,39,46,41,49,24,32,58,41,null,24,21,43,42,44,null,38,null,590,61,8.1,47.5
642,Carlos Watkins,DAL,DE,30,40,null,null,35,40,null,27,42,23,31,21,28,19,26,24,24,28,438,43,10.8,47.3
643,Jerry Jeudy,DEN,WR,31,null,null,null,null,null,null,38,47,45,null,35,56,41,52,31,null,36,412,65.1,11.4,47
644,Myles Hartsfield,CAR,DB,23,null,null,null,null,null,null,null,29,30,43,58,null,57,63,56,54,60,473,73.3,9.9,46.7
645,Deon Bush,CHI,DB,17,1,81,71,15,2,null,null,null,null,17,15,16,19,64,56,27,24,425,49.6,10.9,46.5
645,Folorunso Fatukasi,NYJ,DL,34,29,39,50,45,null,51,32,36,34,30,24,42,37,null,null,36,40,559,53.5,8.3,46.5
647,Josh Johnson,NYJ,QB,null,null,null,null,null,null,null,5,63,null,null,1,null,null,null,59,null,null,128,44.6,36.2,46.32
648,Sebastian Joseph-Day,LAR,DL,52,48,47,48,50,42,54,null,null,null,null,null,null,null,null,null,null,null,341,69.3,13.6,46.3
648,Mack Hollins,MIA,WR,7,16,24,2,14,68,39,4,60,13,22,19,9,null,13,11,12,7,340,29.5,13.6,46.3
650,Jason Pierre-Paul,TB,OLB,77,61,null,null,41,41,39,68,null,58,44,45,37,54,36,null,null,null,601,74.6,7.7,46.1
651,Jamal Agnew,JAX,WR,10,4,6,8,45,39,null,55,33,50,10,null,null,null,null,null,null,null,260,40.6,17.7,46
651,Jerry Jacobs,DET,CB,11,3,13,18,63,67,65,56,null,57,66,70,66,5,null,null,null,null,560,63.6,8.2,46
653,Jaret Patterson,WAS,RB,4,0,0,5,5,2,1,16,null,5,13,3,4,12,10,15,39,17,151,13.4,30.4,45.9
654,Akiem Hicks,CHI,DL,40,41,51,1,null,24,null,43,35,null,null,null,null,null,34,null,35,null,304,53.7,15,45.65
655,Jeremy McNichols,TEN,RB,23,21,18,40,15,1,10,17,26,16,null,null,null,27,23,26,6,null,269,27.7,17,45.6
656,Javelin Guidry,NYJ,CB,22,21,26,85,24,null,19,6,9,29,5,57,71,46,12,44,7,3,486,40.9,9.4,45.5
656,Michael Brockers,DET,DL,37,54,45,46,48,56,32,44,null,38,37,29,30,32,32,21,null,41,622,58.2,7.3,45.5
656,Sione Takitaki,CLE,LB,22,16,null,24,17,10,17,22,29,32,16,27,null,6,14,21,12,null,285,28,16,45.5
656,Shy Tuttle,NO,DT,22,39,20,24,45,null,23,27,32,40,34,27,28,20,28,44,20,21,494,44.2,9.2,45.5
660,Mike Danna,KC,DE,46,32,46,55,31,35,37,31,22,24,17,null,31,26,23,43,20,15,534,47.9,8.5,45.4
661,Caden Sterns,DEN,S,10,15,13,7,19,12,7,17,17,16,null,71,11,19,null,9,null,78,321,33.2,14.1,45.2
662,Anthony Firkser,TEN,TE,31,null,null,50,27,15,24,20,25,22,41,26,null,30,17,16,29,23,396,38.5,11.4,45.1
662,Jalen Reagor,PHI,WR,50,42,50,52,47,43,56,12,29,50,55,45,48,null,39,32,31,69,750,67,6,45.1
664,Yetur Gross-Matos,CAR,DE,19,9,null,null,18,21,29,19,27,17,20,30,null,21,29,42,49,null,350,38.5,12.9,45.05
664,Matt Ioannidis,WAS,DT,43,43,null,44,40,37,27,29,null,25,24,22,33,61,48,52,35,44,607,59,7.4,45.05
666,Danny Amendola,HOU,WR,17,12,null,null,null,null,24,39,34,null,13,22,null,null,null,null,null,30,191,38,23.5,44.8
667,Damien Williams,CHI,RB,30,15,7,19,31,null,11,4,null,null,null,null,null,7,5,9,12,16,166,20.9,26.9,44.7
668,Jeff Wilson Jr.,SF,RB,null,null,null,null,null,null,null,null,null,22,40,10,2,42,50,44,12,6,228,39,19.5,44.5
668,Robert Spillane,PIT,LB,null,53,0,0,24,10,null,15,10,3,13,8,null,null,34,66,62,48,346,36.9,12.9,44.5
668,David Long Jr.,LAR,DB,39,48,71,64,7,20,29,57,3,21,null,0,null,78,33,13,22,14,519,47.3,8.6,44.5
668,Andrew Sendejo,IND,FS,null,0,22,52,47,null,44,73,77,66,51,67,45,null,65,null,null,null,609,80.7,7.3,44.5
672,Demarcus Robinson,KC,WR,48,30,57,45,65,57,57,33,14,26,28,null,31,30,49,46,39,41,696,58.2,6.4,44.4
673,Adam Gotsis,JAX,DL,null,28,44,35,39,29,null,21,24,21,25,22,30,30,22,20,31,21,442,42.9,10,44.2
674,Mike White,NYJ,QB,null,null,null,null,null,null,47,79,14,71,null,null,null,null,null,null,null,null,211,69.6,20.9,44.02
675,Greg Newsome II,CLE,CB,63,60,37,null,null,21,50,68,75,64,45,77,null,null,null,null,77,54,691,89.4,6.4,44
675,Joe Haden,PIT,CB,85,null,47,72,59,65,null,59,62,9,null,null,null,null,27,50,69,26,630,77.6,7,44
675,Tre Norwood,PIT,DB,68,50,14,10,22,15,null,7,10,28,76,8,13,9,8,27,16,7,388,33.3,11.3,44
678,Kyle Juszczyk,SF,FB,20,41,48,62,42,null,26,31,24,40,38,44,32,31,30,32,34,35,610,55.9,7.2,43.8
678,Tanoh Kpassagnon,NO,DE,29,null,43,26,37,null,25,30,17,13,null,null,null,null,null,null,null,null,220,43.1,19.9,43.8
678,Morgan Fox,CAR,DL,33,26,31,41,36,49,29,23,30,24,28,32,null,31,35,37,47,30,562,51.7,7.8,43.8
681,Everson Griffen,MIN,DE,28,null,34,43,49,63,null,60,87,50,43,null,null,null,null,null,null,null,457,72.4,9.6,43.7
681,David Onyemata,NO,DT,null,null,null,null,null,null,null,27,37,47,43,33,42,33,51,41,44,32,430,60.6,10.2,43.7
683,Sean Murphy-Bunting,TB,CB,16,null,null,null,null,null,null,null,null,null,57,68,49,78,61,56,9,67,461,74.5,9.4,43.5
683,Chris Harris Jr.,LAC,CB,54,null,null,null,34,65,null,66,57,42,54,34,61,59,65,53,39,66,749,78.3,5.8,43.5
683,Derrick Nnadi,KC,DT,19,35,32,22,32,31,30,25,17,24,18,null,25,18,48,36,20,18,450,40.4,9.7,43.5
686,Sammy Watkins,BAL,WR,56,70,46,53,20,null,null,null,null,23,60,35,34,23,null,3,14,21,458,49.1,9.5,43.4
687,Kadarius Toney,NYG,WR,5,19,46,49,37,6,null,34,31,null,35,null,null,null,null,39,null,null,301,45.9,14.4,43.36
688,Marcell Harris,SF,LB,3,11,25,33,17,null,27,33,0,0,7,17,null,22,60,26,55,null,336,35.4,12.8,43.1
689,Darius Philon,LV,DT,34,14,33,26,30,null,null,null,22,null,null,null,null,15,14,24,31,35,278,38.7,15.5,43
689,Jonas Griffith,DEN,ILB,12,16,7,null,null,null,null,11,12,18,null,13,16,23,42,56,67,67,360,43.8,11.9,43
689,Albert Okwuegbunam,DEN,TE,37,37,29,16,null,null,null,26,63,24,null,28,33,38,30,14,30,16,421,47.3,10.2,43
689,Malik Hooker,DAL,S,null,25,19,28,33,15,null,41,33,18,19,51,26,18,32,null,35,53,446,43.7,9.6,43
689,E.J. Speed,IND,LB,0,0,6,0,0,8,8,10,1,6,9,3,14,null,5,65,4,7,146,13.5,29.5,43
689,Melvin Ingram,PIT,LB,54,57,47,35,36,17,null,null,29,21,44,null,41,37,57,29,49,39,592,59.8,7.3,43
689,Dane Jackson,BUF,CB,5,47,8,13,11,13,null,6,1,14,7,36,51,83,72,51,52,46,516,48.7,8.3,43
689,Rock Ya-Sin,IND,CB,54,58,33,null,null,41,null,53,64,65,35,56,41,null,42,null,45,4,591,70.9,7.3,43
689,Chandon Sullivan,GB,CB,35,18,44,50,58,46,61,59,53,61,41,62,null,56,56,50,35,41,826,76.7,5.2,43
698,Sean Chandler,CAR,S,17,31,44,48,64,89,72,47,54,27,4,15,null,1,19,7,null,null,539,55.7,8,42.9
699,Jamie Collins Sr.,DET,LB,37,63,null,null,3,17,16,7,16,null,null,null,15,null,37,37,8,44,300,39.8,14.3,42.8
700,Kentavius Street,SF,DT,42,23,23,17,25,null,43,15,19,15,14,5,10,15,21,22,23,19,351,32.4,12.2,42.7
