Season,Type,Week,Timeframe,DayString,TimeString,DayOfWeek,DateTimeString,LastUpdated,Status,AwayTeam,AwayScore,AwayTeamHasWon,HomeTeam,HomeScore,HomeTeamHasWon,AwayTeamLogo,HomeTeamLogo,QuarterNames,HomeTeamQuarters,AwayTeamQuarters,Scope,OpenerHomeMoneyLine,OpenerAwayMoneyLine,OpenerHomePointSpread,OpenerAwayPointSpread,OpenerHomePointSpreadPayout,OpenerAwayPointSpreadPayout,OpenerOverUnder,OpenerOverPayout,OpenerUnderPayout,OpenerHomeTeamTotal,OpenerAwayTeamTotal,OpenerHomeTeamTotalPayout,OpenerAwayTeamTotalPayout,ConsensusHomeMoneyLine,ConsensusAwayMoneyLine,ConsensusHomePointSpread,ConsensusAwayPointSpread,ConsensusHomePointSpreadPayout,ConsensusAwayPointSpreadPayout,ConsensusOverUnder,ConsensusOverPayout,ConsensusUnderPayout,ConsensusHomeTeamTotal,ConsensusAwayTeamTotal,ConsensusHomeTeamTotalPayout,ConsensusAwayTeamTotalPayout,CaesarsHomeMoneyLine,CaesarsAwayMoneyLine,CaesarsHomePointSpread,CaesarsAwayPointSpread,CaesarsHomePointSpreadPayout,CaesarsAwayPointSpreadPayout,CaesarsOverUnder,CaesarsOverPayout,CaesarsUnderPayout,CaesarsHomeTeamTotal,CaesarsAwayTeamTotal,CaesarsHomeTeamTotalPayout,CaesarsAwayTeamTotalPayout,BetMGMHomeMoneyLine,BetMGMAwayMoneyLine,BetMGMHomePointSpread,BetMGMAwayPointSpread,BetMGMHomePointSpreadPayout,BetMGMAwayPointSpreadPayout,BetMGMOverUnder,BetMGMOverPayout,BetMGMUnderPayout,BetMGMHomeTeamTotal,BetMGMAwayTeamTotal,BetMGMHomeTeamTotalPayout,BetMGMAwayTeamTotalPayout
2022,Postseason,3,Conference Championships,1/29/23,3:00 PM ET,Sun,1/29/23 @ 3:00 PM ET,1/23/2023 6:29:54 PM,Scheduled,SF,,False,PHI,,False,/assets/images/nfl/logos/SF.png,/assets/images/nfl/logos/PHI.png,,,,1,-138,113,-2.5,2.5,-109,-112,45,-113,-108,,,,,-146,123,-2.5,2.5,-118,-103,45.5,-110,-110,,,,,-145,122,-2.5,2.5,-110,-110,45.5,-110,-110,,,,,-150,125,-2.5,2.5,-115,-105,45.5,-110,-110,,,,
2022,Postseason,3,Conference Championships,1/29/23,6:30 PM ET,Sun,1/29/23 @ 6:30 PM ET,1/23/2023 6:29:54 PM,Scheduled,CIN,,False,KC,,False,/assets/images/nfl/logos/CIN.png,/assets/images/nfl/logos/KC.png,,,,1,-115,-105,-1,1,-110,-110,47.5,-110,-112,,,,,-103,-117,1,-1,-110,-110,46.5,-110,-110,,,,,100,-120,1,-1,-110,-110,47,-110,-110,,,,,100,-120,1.5,-1.5,-110,-110,47,-110,-110,,,,
